amount,code,limitDays,mktCap,failTimes,industry,priceLimit,limitTimeFirst,limitFund,price,daily,limitTimeLast,name,turnoverRate,ffCap,limitStatistic,isRaise
[192963316, 002164, 1, 3.459129024E9, 0, 通用设备, 9.98307991027832, 09:45:21, 32048237, 6.5, 2022-11-18, 09:45:21, 宁波东力, 6.2906622886657715, 3.125851417E9, {"ct":1,"days":1}, true]
[200787252, 002875, 1, 1.96387331952E9, 2, 纺织服装, 9.97624683380127, 10:12:45, 14653098, 9.26, 2022-11-18, 10:24:24, 安奈儿, 18.17169761657715, 1.1288807662E9, {"ct":1,"days":1}, true]
[234616768, 603530, 1, 6.56607995232E9, 1, 电网设备, 9.992758750915527, 14:13:51, 29170876, 15.19, 2022-11-18, 14:31:09, 神马电力, 3.707902431488037, 6.56607993713E9, {"ct":1,"days":1}, true]
[238266674, 600892, 2, 2.89242987264E9, 0, 游戏, 10.0, 09:35:24, 32044011, 5.17, 2022-11-18, 09:35:24, 大晟文化, 8.339110374450684, 2.89168200112E9, {"ct":2,"days":2}, true]
[252107914, 603130, 1, 3.976E9, 2, 纺织服装, 44.01622772216797, 10:00:01, 73778144, 28.4, 2022-11-18, 10:07:31, N云中马, 25.459716796875, 9.94E8, {"ct":1,"days":1}, true]
[268003064, 000526, 1, 2.30108333386E9, 0, 教育, 10.022522926330566, 11:16:51, 32017814, 19.54, 2022-11-18, 11:16:51, 学大教育, 12.144567489624023, 2.30108333386E9, {"ct":1,"days":1}, true]
[283302512, 002690, 1, 2.426827964E10, 3, 专用设备, 10.0, 13:38:57, 5266415, 27.5, 2022-11-18, 14:35:21, 美亚光电, 2.459549903869629, 1.18892048825E10, {"ct":1,"days":1}, true]
[286585856, 300515, 1, 3.24374684E9, 4, 仪器仪表, 20.03046417236328, 13:52:33, 5309607, 15.76, 2022-11-18, 14:41:06, 三德科技, 10.654923439025879, 2.853131694E9, {"ct":1,"days":1}, true]
[304527008, 603516, 2, 3.4277992089300003E9, 3, 计算机设, 9.98217487335205, 09:30:48, 48382289, 18.51, 2022-11-18, 10:31:10, 淳中科技, 8.962221145629883, 3.4277992089300003E9, {"ct":2,"days":2}, true]
[323097408, 600268, 1, 5.907814509599999E9, 3, 电网设备, 9.986859321594238, 13:25:14, 33964556, 8.37, 2022-11-18, 14:02:35, 国电南自, 5.6496806144714355, 5.81936959008E9, {"ct":1,"days":1}, true]
[334223248, 002213, 1, 3.23214E9, 2, 汽车零部, 10.028050422668457, 09:49:06, 27975646, 15.69, 2022-11-18, 10:13:06, 大为股份, 10.474453926086426, 3.23214E9, {"ct":1,"days":1}, true]
[338837696, 002168, 1, 3.608683056E9, 2, 游戏, 10.024450302124023, 09:47:12, 30121371, 4.5, 2022-11-18, 10:57:03, 惠程科技, 9.68383502960205, 3.5737096185E9, {"ct":1,"days":1}, true]
[347664160, 002388, 1, 4.2851998777599998E9, 0, 电子元件, 10.03911304473877, 10:10:12, 108978225, 8.44, 2022-11-18, 10:10:12, 新亚制程, 8.88985824584961, 4.0790999392E9, {"ct":1,"days":1}, true]
[359387264, 000919, 1, 4.705888E9, 0, 中药, 10.023866653442383, 10:15:18, 47222074, 9.22, 2022-11-18, 10:15:18, 金陵药业, 7.939448356628418, 4.64009839496E9, {"ct":1,"days":1}, true]
[443890816, 002181, 3, 6.676084512E9, 1, 文化传媒, 9.942638397216797, 09:25, 99137112, 5.75, 2022-11-18, 09:36:54, 粤 传 媒, 6.933964729309082, 6.523159214E9, {"ct":3,"days":3}, true]
[453376976, 603416, 1, 6.796076E9, 11, 专用设备, 10.01137638092041, 09:52:57, 3713280, 48.35, 2022-11-18, 14:51:02, 信捷电气, 6.762538433074951, 6.796076E9, {"ct":1,"days":1}, true]
[473182752, 603998, 1, 4.2025963436800003E9, 0, 中药, 10.011507987976074, 13:56:54, 37648331, 9.56, 2022-11-18, 13:56:54, 方盛制药, 11.812360763549805, 4.1053481232000003E9, {"ct":1,"days":1}, true]
[514928832, 603778, 1, 3.535714248E9, 0, 工程建设, 10.0, 09:43:22, 77061297, 5.5, 2022-11-18, 09:43:22, 乾景园林, 14.946978569030762, 3.535714281E9, {"ct":6,"days":8}, true]
[517288544, 600071, 1, 6.27346622464E9, 6, 光学光电, 10.024691581726074, 09:58:54, 24802096, 22.28, 2022-11-18, 14:33:56, 凤凰光学, 8.375153541564941, 6.27346624692E9, {"ct":1,"days":1}, true]
[570772048, 600636, 1, 4.6291194104E9, 5, 教育, 10.052355766296387, 11:26:54, 1585959, 10.51, 2022-11-18, 14:54:04, 国新文化, 12.874686241149902, 4.62911935785E9, {"ct":1,"days":1}, true]
[606076912, 002370, 1, 3.26303813632E9, 1, 化学制药, 9.94575023651123, 10:55:21, 88118637, 6.08, 2022-11-18, 10:58:15, 亚太药业, 20.722087860107422, 3.01658912416E9, {"ct":1,"days":1}, true]
[633955840, 603918, 1, 3.3686728064E9, 4, 互联网服, 9.963985443115234, 09:33:45, 35531200, 9.16, 2022-11-18, 13:00:01, 金桥信息, 19.321636199951172, 3.34251805688E9, {"ct":1,"days":1}, true]
[695404496, 002980, 2, 6.245336456E9, 2, 仪器仪表, 10.0046968460083, 14:21:21, 12984048, 46.84, 2022-11-18, 14:51:57, 华盛昌, 46.39919662475586, 1.561336456E9, {"ct":6,"days":11}, true]
[721252688, 600223, 3, 1.0704469127039999E10, 3, 房地产开, 10.031347274780273, 09:25:05, 105748957, 10.53, 2022-11-18, 11:10:09, 鲁商发展, 6.74225378036499, 1.070446920075E10, {"ct":3,"days":3}, true]
[729240432, 600557, 2, 1.3480828773119999E10, 5, 中药, 10.019083976745605, 09:37:58, 73797511, 23.06, 2022-11-18, 09:42:34, 康缘药业, 5.549294948577881, 1.3292451633119999E10, {"ct":3,"days":5}, true]
[793475632, 301389, 1, 6.91173E9, 0, 电子元件, 19.980314254760742, 13:04:06, 39224933, 24.38, 2022-11-18, 13:04:06, 隆扬电子, 51.54528045654297, 1.63890866182E9, {"ct":1,"days":1}, true]
[856217920, 000815, 5, 1.0289892992E10, 0, 造纸印刷, 10.037175178527832, 09:30:09, 194534263, 14.8, 2022-11-18, 09:30:09, 美利云, 8.428960800170898, 1.0289892918E10, {"ct":6,"days":6}, true]
[1011520752, 002728, 1, 6.12879511895E9, 0, 中药, 9.984089851379395, 09:48:51, 125986146, 27.65, 2022-11-18, 09:48:51, 特一药业, 24.654279708862305, 4.20860630645E9, {"ct":6,"days":10}, true]
[1029748208, 600080, 3, 4.05744803056E9, 13, 中药, 10.020242691040039, 09:32:40, 14033170, 10.87, 2022-11-18, 14:47:30, 金花股份, 25.9749813079834, 4.05744799795E9, {"ct":3,"days":3}, true]
[1175592464, 600161, 1, 4.063498315776E10, 4, 生物制品, 9.991079330444336, 10:03:27, 45444286, 24.66, 2022-11-18, 14:34:17, 天坛生物, 2.9304206371307373, 4.063498320708E10, {"ct":1,"days":1}, true]
[1373748368, 002607, 1, 3.3859022837760002E10, 4, 教育, 10.020039558410645, 13:14:24, 22538300, 5.49, 2022-11-18, 14:53:12, 中公教育, 5.851409912109375, 2.413769197545E10, {"ct":1,"days":1}, true]
[1424357376, 002007, 1, 3.91873971456E10, 0, 生物制品, 9.984639167785645, 13:14:30, 124951050, 21.48, 2022-11-18, 13:14:30, 华兰生物, 4.338602542877197, 3.376313230752E10, {"ct":1,"days":1}, true]
[3691174624, 600056, 1, 2.46072217888E10, 5, 医药商业, 10.033445358276367, 10:07:42, 76756719, 16.45, 2022-11-18, 14:38:08, 中国医药, 15.339369773864746, 2.45985318131E10, {"ct":1,"days":1}, true]
